# csv zh_tw
About this web site;關於這個網站
About Us;关于我们
Access;
Action;
Activate;启用
active;活躍
Add Comment;給予評論
Add New;添加新的
Admin;
Age;
already taken;
Applied;
Approved;
Arrived;
At;
Bootcamp;
By;
Cancel;取消
Change Address;更改地址
Change Balances;更改余额
Check it, if you want to receive newsletters;如果你想收到簡訊，請查看
Chinese;中文
Chinese Name;中文名字
Chinese Simplified;簡體中文
Chinese Traditional;中文繁體
City;城市
Click here, if you have an account and password;如果您有一個帳戶和密碼點擊這裡
Click here, if you have an account before or do not know your password;如果您之前有一個帳戶或不知道您的密碼點擊這裡
Click here, to create a new account;點擊這裡開設新的帳戶
Clients;
Close;關閉
Close Window;關閉窗口
Combine;
Comment;意見
Comments;評論
Companies;公司
Company;
Company Name;公司名稱
Confirm Password;確認密碼
Contact;
Contact Name;联系人姓名
Contact Person;联系人
Contact Us;
Control;
Control Name;控制名稱
Control Set;
Control Value;控制值
Controls;控件
Counter;
Country;國家
Created;创建
Created At;创建于
Created By;創建者
Created On;創建於
Current Password;現有密碼
Customer Type;客戶類型
Cut Off;
Dashboard;
Date;
Days;天数
Debrief;
Delete;删除
Departed;
Description;描述
Dictionary;詞典
Display;
Do you wish to continue to receive newsletters;你想繼續獲得簡報嗎
Edit;編輯
Edit Comment;編輯注解
Email Address;電郵地址
Email Sent;已發郵件
End;
Ended On;結束於
English;英語
Enter Your Details;輸入您的詳細資料
Error messages;錯誤信息
Event;
Events;
Export;
Fax;傳真
First;第一，首先
First Name;名字
Full;
Full Name;
Generate Excel;生成的電子表格
Group;
Group Name;組名稱
Groups;
Hello;
Help;帮助
Helper;
Helpers;Ajudas
Home;首頁
Inactivate;撤銷
Inactive;不常用
Info;信息
Internal Functions;內部功能
Is a member;是否是會員
Key Word;关键词
Last Name;姓
Letter Body;信件內容
Letter Subject;主题
Letters;信函
Location;
Log In;登錄
Log in now;現在登陸
Log Out;退出
Lost your password;忘記密碼
Main Industry;主營行業
Member Name;會員名稱
Members;會員
Message;信息
Message Body;信息內容
Message Name;信息名稱
Message Subject;信息主題
Messages;信息/郵件
Mobile;手機
My Info;
Name;名字
New Account Created;開設了新賬戶
Number;
Opened;
or;
Permissions;
Phone;
please;
Priority;
Publish;
Resolution;
Role;
Semana 3;
Send;
Sentence;
Seq;
Services;
Setting;
Setting Set;
Settings;
Sign Up;
Size;
Start;
State;
Status;
Subject;
Targeted;
Template;
Template Type;
Templates;
Tickets;
Total;
Translations;
Type;
Updated;
User;
User Resource;
User Role;
Users;
Value;
want to view;
Week;
Welcome;
Your Profile;
